State,State_abbrev,Year,Beer (Per capita consumption),Wine (Per capita consumption),Spirits (Per capita consumption),All beverages (Per capita consumption),id
Illinois,IL,1989,1.42,0.36,0.85,2.63,17
Illinois,IL,1988,1.45,0.38,0.87,2.7,17
Illinois,IL,1987,1.43,0.39,0.88,2.71,17
Illinois,IL,1986,1.42,0.39,0.91,2.72,17
Illinois,IL,1985,1.39,0.38,0.99,2.76,17
Illinois,IL,1984,1.41,0.37,1.02,2.8,17
Illinois,IL,1983,1.43,0.35,1.03,2.82,17
Illinois,IL,1982,1.42,0.35,1.07,2.84,17
Illinois,IL,1981,1.44,0.35,1.12,2.91,17
Illinois,IL,1980,1.42,0.33,1.23,2.99,17
Illinois,IL,1979,1.42,0.32,1.15,2.89,17
Illinois,IL,1978,1.35,0.31,1.17,2.83,17
Illinois,IL,1977,1.32,0.3,1.2,2.82,17
Indiana,IN,2016,0.98,0.29,0.89,2.17,18
Indiana,IN,2015,0.98,0.28,0.88,2.14,18
Indiana,IN,2014,0.98,0.27,0.8,2.05,18
Indiana,IN,2013,1,0.28,0.81,2.09,18
Indiana,IN,2012,1.02,0.28,0.79,2.08,18
Indiana,IN,2011,1.02,0.27,0.73,2.02,18
Indiana,IN,2010,1.03,0.26,0.74,2.03,18
Indiana,IN,2009,1.08,0.25,0.72,2.05,18
Indiana,IN,2008,1.1,0.24,0.73,2.08,18
Indiana,IN,2007,1.13,0.24,0.72,2.09,18
Indiana,IN,2006,1.09,0.25,0.66,2,18
Indiana,IN,2005,1.11,0.22,0.68,2.01,18
Indiana,IN,2004,1.14,0.22,0.65,2.01,18
Indiana,IN,2003,1.11,0.21,0.64,1.96,18
Indiana,IN,2002,1.13,0.2,0.6,1.93,18
Indiana,IN,2001,1.15,0.19,0.62,1.96,18
Indiana,IN,2000,1.16,0.2,0.61,1.98,18
Indiana,IN,1999,1.16,0.19,0.59,1.94,18
Indiana,IN,1998,1.14,0.19,0.58,1.91,18
Indiana,IN,1997,1.09,0.18,0.59,1.85,18
Indiana,IN,1996,1.09,0.2,0.57,1.86,18
Indiana,IN,1995,1.14,0.2,0.58,1.92,18
Indiana,IN,1994,1.15,0.2,0.59,1.94,18
Indiana,IN,1993,1.15,0.19,0.64,1.98,18
Indiana,IN,1992,1.16,0.2,0.58,1.95,18
Indiana,IN,1991,1.22,0.19,0.6,2,18
Indiana,IN,1990,1.26,0.2,0.63,2.09,18
Indiana,IN,1989,1.23,0.2,0.64,2.07,18
Indiana,IN,1988,1.25,0.21,0.67,2.13,18
Indiana,IN,1987,1.26,0.23,0.67,2.16,18
Indiana,IN,1986,1.26,0.23,0.67,2.17,18
Indiana,IN,1985,1.26,0.22,0.73,2.2,18
Indiana,IN,1984,1.27,0.21,0.73,2.21,18
Indiana,IN,1983,1.28,0.19,0.73,2.2,18
Indiana,IN,1982,1.29,0.19,0.76,2.24,18
Indiana,IN,1981,1.29,0.18,0.78,2.24,18
Indiana,IN,1980,1.26,0.17,0.77,2.21,18
Indiana,IN,1979,1.21,0.15,0.78,2.15,18
Indiana,IN,1978,1.18,0.15,0.78,2.12,18
Indiana,IN,1977,1.13,0.14,0.77,2.03,18
Iowa,IA,2016,1.3,0.23,0.87,2.4,19
Iowa,IA,2015,1.31,0.22,0.83,2.36,19
Iowa,IA,2014,1.34,0.21,0.81,2.37,19
Iowa,IA,2013,1.33,0.22,0.79,2.34,19
Iowa,IA,2012,1.36,0.23,0.81,2.4,19
Iowa,IA,2011,1.38,0.21,0.78,2.37,19
Iowa,IA,2010,1.39,0.18,0.73,2.3,19
Iowa,IA,2009,1.42,0.18,0.72,2.31,19
Iowa,IA,2008,1.43,0.17,0.7,2.3,19
Iowa,IA,2007,1.41,0.17,0.67,2.25,19
Iowa,IA,2006,1.39,0.16,0.65,2.2,19
Iowa,IA,2005,1.4,0.16,0.61,2.16,19
Iowa,IA,2004,1.39,0.16,0.57,2.12,19
Iowa,IA,2003,1.38,0.15,0.54,2.07,19
Iowa,IA,2002,1.38,0.14,0.51,2.04,19
Iowa,IA,2001,1.36,0.13,0.5,1.99,19
Iowa,IA,2000,1.35,0.13,0.5,1.98,19
Iowa,IA,1999,1.34,0.13,0.48,1.95,19
Iowa,IA,1998,1.31,0.12,0.46,1.9,19
Iowa,IA,1997,1.28,0.12,0.45,1.85,19
Iowa,IA,1996,1.28,0.12,0.45,1.85,19
Iowa,IA,1995,1.26,0.11,0.44,1.8,19
Iowa,IA,1994,1.3,0.1,0.44,1.84,19
Iowa,IA,1993,1.28,0.11,0.48,1.87,19
Iowa,IA,1992,1.31,0.13,0.46,1.9,19
Iowa,IA,1991,1.32,0.16,0.52,2.01,19
Iowa,IA,1990,1.34,0.18,0.54,2.06,19
Iowa,IA,1989,1.3,0.19,0.52,2.01,19
Iowa,IA,1988,1.32,0.2,0.53,2.06,19
Iowa,IA,1987,1.34,0.22,0.59,2.14,19
Iowa,IA,1986,1.35,0.2,0.54,2.09,19
Iowa,IA,1985,1.33,0.14,0.58,2.06,19
Iowa,IA,1984,1.39,0.12,0.62,2.13,19
Iowa,IA,1983,1.4,0.13,0.65,2.18,19
Iowa,IA,1982,1.4,0.13,0.65,2.19,19
Iowa,IA,1981,1.44,0.13,0.69,2.26,19
Iowa,IA,1980,1.41,0.13,0.71,2.25,19
Iowa,IA,1979,1.4,0.11,0.71,2.22,19
Iowa,IA,1978,1.38,0.11,0.74,2.23,19
Iowa,IA,1977,1.33,0.1,0.74,2.17,19
Kansas,KS,2016,1.02,0.14,0.75,1.92,20
Kansas,KS,2015,1.03,0.14,0.74,1.91,20
Kansas,KS,2014,1.04,0.14,0.75,1.93,20
Kansas,KS,2013,0.99,0.14,0.76,1.88,20
Kansas,KS,2012,1.09,0.14,0.72,1.95,20
Kansas,KS,2011,1.07,0.14,0.69,1.9,20
Kansas,KS,2010,1.13,0.14,0.68,1.95,20
Kansas,KS,2009,1.18,0.14,0.67,1.99,20
Kansas,KS,2008,1.22,0.14,0.65,2.01,20
Kansas,KS,2007,1.17,0.15,0.64,1.96,20
Kansas,KS,2006,1.14,0.18,0.61,1.94,20
Kansas,KS,2005,1.14,0.18,0.57,1.89,20
Kansas,KS,2004,1.14,0.16,0.56,1.86,20
Kansas,KS,2003,1.16,0.17,0.56,1.89,20
Kansas,KS,2002,1.19,0.15,0.54,1.88,20
Kansas,KS,2001,1.12,0.15,0.53,1.8,20
Kansas,KS,2000,1.13,0.15,0.53,1.82,20
Kansas,KS,1999,1.12,0.15,0.54,1.81,20
Kansas,KS,1998,1.08,0.13,0.54,1.76,20
Kansas,KS,1997,1.07,0.12,0.48,1.67,20
Kansas,KS,1996,1.04,0.12,0.49,1.65,20
Kansas,KS,1995,1.04,0.12,0.5,1.66,20
Kansas,KS,1994,1.12,0.13,0.48,1.73,20
Kansas,KS,1993,1.09,0.14,0.52,1.75,20
Kansas,KS,1992,1.09,0.14,0.55,1.78,20
Kansas,KS,1991,1.15,0.14,0.57,1.85,20
Kansas,KS,1990,1.13,0.13,0.53,1.79,20
Kansas,KS,1989,1.13,0.13,0.55,1.81,20
Kansas,KS,1988,1.13,0.22,0.57,1.92,20
Kansas,KS,1987,1.14,0.17,0.57,1.88,20
Kansas,KS,1986,1.14,0.17,0.6,1.91,20
Kansas,KS,1985,1.18,0.15,0.64,1.97,20
Kansas,KS,1984,1.19,0.14,0.63,1.96,20
Kansas,KS,1983,1.2,0.13,0.64,1.97,20
Kansas,KS,1982,1.22,0.13,0.67,2.03,20
Kansas,KS,1981,1.23,0.12,0.7,2.05,20
Kansas,KS,1980,1.22,0.11,0.61,1.95,20
Kansas,KS,1979,1.19,0.12,0.74,2.04,20
Kansas,KS,1978,1.15,0.12,0.65,1.91,20
Kansas,KS,1977,1.14,0.1,0.65,1.9,20
Kentucky,KY,2016,0.96,0.22,0.79,1.98,21
Kentucky,KY,2015,0.99,0.22,0.76,1.97,21
Kentucky,KY,2014,0.94,0.21,0.72,1.88,21
Kentucky,KY,2013,0.95,0.2,0.7,1.85,21
Kentucky,KY,2012,0.97,0.2,0.7,1.87,21
Kentucky,KY,2011,0.94,0.19,0.66,1.79,21
Kentucky,KY,2010,1,0.18,0.66,1.83,21
Kentucky,KY,2009,1.02,0.18,0.65,1.85,21
Kentucky,KY,2008,1.03,0.17,0.65,1.85,21
Kentucky,KY,2007,1.04,0.17,0.63,1.85,21
Kentucky,KY,2006,1.04,0.17,0.62,1.82,21
Kentucky,KY,2005,1.04,0.14,0.61,1.8,21
Kentucky,KY,2004,1.07,0.17,0.57,1.81,21
Kentucky,KY,2003,1.03,0.15,0.57,1.75,21
Kentucky,KY,2002,1.08,0.14,0.54,1.77,21
Kentucky,KY,2001,1.04,0.12,0.46,1.63,21
Kentucky,KY,2000,1.07,0.14,0.53,1.74,21
Kentucky,KY,1999,1.07,0.13,0.54,1.74,21
Kentucky,KY,1998,1.08,0.13,0.53,1.74,21
Kentucky,KY,1997,1.07,0.13,0.53,1.72,21
Kentucky,KY,1996,1.09,0.13,0.54,1.76,21
Kentucky,KY,1995,1.06,0.11,0.54,1.71,21
Kentucky,KY,1994,1.08,0.11,0.55,1.73,21
Kentucky,KY,1993,1.08,0.1,0.55,1.73,21
Kentucky,KY,1992,1.04,0.11,0.56,1.71,21
Kentucky,KY,1991,1.11,0.11,0.56,1.78,21
Kentucky,KY,1990,1.12,0.11,0.6,1.83,21
Kentucky,KY,1989,1.09,0.12,0.57,1.79,21
Kentucky,KY,1988,1.1,0.12,0.6,1.82,21
Kentucky,KY,1987,1.04,0.14,0.6,1.78,21
Kentucky,KY,1986,1.1,0.14,0.63,1.86,21
Kentucky,KY,1985,1.08,0.14,0.66,1.88,21
Kentucky,KY,1984,1.06,0.13,0.68,1.87,21
Kentucky,KY,1983,1.13,0.12,0.7,1.95,21
Kentucky,KY,1982,1.14,0.12,0.72,1.99,21
Kentucky,KY,1981,1.13,0.1,0.75,1.99,21
Kentucky,KY,1980,1.08,0.1,0.73,1.91,21
Kentucky,KY,1979,1.07,0.09,0.75,1.91,21
Kentucky,KY,1978,1.04,0.09,0.75,1.88,21
Kentucky,KY,1977,1.16,0.09,0.73,1.98,21
Louisiana,LA,2016,1.25,0.34,1,2.59,22
Louisiana,LA,2015,1.27,0.33,0.98,2.59,22
Louisiana,LA,2014,1.3,0.33,0.95,2.58,22
Louisiana,LA,2013,1.34,0.32,0.93,2.58,22
Louisiana,LA,2012,1.38,0.32,0.9,2.59,22
Louisiana,LA,2011,1.39,0.3,0.88,2.57,22
Louisiana,LA,2010,1.42,0.28,0.84,2.55,22
Louisiana,LA,2009,1.5,0.28,0.85,2.63,22
Louisiana,LA,2008,1.55,0.26,0.83,2.64,22
Louisiana,LA,2007,1.57,0.27,0.81,2.66,22
Louisiana,LA,2006,1.59,0.25,0.78,2.63,22
Louisiana,LA,2005,1.47,0.24,0.71,2.41,22
Louisiana,LA,2004,1.38,0.26,0.73,2.36,22
Louisiana,LA,2003,1.41,0.25,0.72,2.38,22
Louisiana,LA,2002,1.32,0.24,0.7,2.26,22
Louisiana,LA,2001,1.49,0.23,0.69,2.41,22
Louisiana,LA,2000,1.51,0.22,0.7,2.44,22
Louisiana,LA,1999,1.52,0.24,0.69,2.45,22
Louisiana,LA,1998,1.48,0.23,0.7,2.4,22
Louisiana,LA,1997,1.51,0.23,0.71,2.44,22
Louisiana,LA,1996,1.52,0.22,0.72,2.46,22
Louisiana,LA,1995,1.51,0.21,0.73,2.46,22
Louisiana,LA,1994,1.45,0.21,0.73,2.39,22
Louisiana,LA,1993,1.53,0.21,0.72,2.47,22
Louisiana,LA,1992,1.55,0.22,0.74,2.51,22
Louisiana,LA,1991,1.52,0.21,0.73,2.46,22
Louisiana,LA,1990,1.53,0.23,0.78,2.54,22
Louisiana,LA,1989,1.47,0.24,0.74,2.45,22
Louisiana,LA,1988,1.49,0.24,0.71,2.44,22
Louisiana,LA,1987,1.4,0.25,0.77,2.41,22
Louisiana,LA,1986,1.42,0.26,0.79,2.47,22
Louisiana,LA,1985,1.37,0.28,0.87,2.52,22
Louisiana,LA,1984,1.42,0.29,0.95,2.66,22
Louisiana,LA,1983,1.44,0.31,1.03,2.77,22
Louisiana,LA,1982,1.49,0.3,1,2.78,22
Louisiana,LA,1981,1.49,0.28,1.02,2.79,22
Louisiana,LA,1980,1.4,0.27,1.03,2.7,22
Louisiana,LA,1979,1.32,0.25,1.04,2.61,22
Louisiana,LA,1978,1.32,0.25,1.04,2.6,22
Louisiana,LA,1977,1.27,0.25,1,2.51,22
Maine,ME,2016,1.36,0.44,1.01,2.81,23
Maine,ME,2015,1.37,0.44,0.97,2.78,23
Maine,ME,2014,1.36,0.42,0.93,2.71,23
Maine,ME,2013,1.36,0.42,0.91,2.69,23
Maine,ME,2012,1.34,0.42,0.89,2.65,23
Maine,ME,2011,1.31,0.42,0.87,2.6,23
Maine,ME,2010,1.3,0.42,0.84,2.56,23
Maine,ME,2009,1.31,0.42,0.82,2.55,23
Maine,ME,2008,1.33,0.42,0.81,2.56,23
Maine,ME,2007,1.35,0.42,0.8,2.57,23
Maine,ME,2006,1.34,0.42,0.78,2.54,23
Maine,ME,2005,1.34,0.41,0.77,2.52,23
Maine,ME,2004,1.26,0.41,0.76,2.44,23
Maine,ME,2003,1.25,0.4,0.74,2.39,23
Maine,ME,2002,1.23,0.4,0.7,2.33,23
Maine,ME,2001,1.21,0.37,0.7,2.28,23
Maine,ME,2000,1.17,0.38,0.68,2.23,23
Maine,ME,1999,1.16,0.36,0.69,2.21,23
Maine,ME,1998,1.14,0.33,0.69,2.16,23
Maine,ME,1997,1.16,0.32,0.68,2.16,23
Maine,ME,1996,1.21,0.32,0.69,2.22,23
Maine,ME,1995,1.14,0.28,0.7,2.12,23
Maine,ME,1994,1.13,0.27,0.77,2.18,23
Maine,ME,1993,1.15,0.29,0.79,2.22,23
Maine,ME,1992,1.16,0.29,0.78,2.23,23
Maine,ME,1991,1.18,0.3,0.77,2.25,23
Maine,ME,1990,1.21,0.31,0.82,2.34,23
Maine,ME,1989,1.26,0.34,0.86,2.46,23
Maine,ME,1988,1.29,0.36,0.91,2.55,23
Maine,ME,1987,1.27,0.38,0.91,2.56,23
Maine,ME,1986,1.29,0.36,0.92,2.57,23
Maine,ME,1985,1.29,0.33,0.94,2.56,23
Maine,ME,1984,1.25,0.31,1.02,2.57,23
Maine,ME,1983,1.32,0.29,1.03,2.64,23
Maine,ME,1982,1.3,0.3,1.02,2.62,23
Maine,ME,1981,1.24,0.28,1.05,2.57,23
Maine,ME,1980,1.32,0.28,1.06,2.66,23
Maine,ME,1979,1.27,0.27,1.05,2.59,23
Maine,ME,1978,1.28,0.26,1.03,2.57,23
Maine,ME,1977,1.35,0.23,1.02,2.6,23
Maryland,MD,2016,0.83,0.4,0.92,2.15,24
Maryland,MD,2015,0.85,0.39,0.9,2.14,24
Maryland,MD,2014,0.86,0.39,0.9,2.15,24
Maryland,MD,2013,0.88,0.39,0.9,2.17,24
Maryland,MD,2012,0.91,0.39,0.9,2.2,24
Maryland,MD,2011,0.92,0.39,0.89,2.19,24
Maryland,MD,2010,0.94,0.38,0.89,2.21,24
Maryland,MD,2009,0.96,0.36,0.86,2.19,24
Maryland,MD,2008,0.99,0.36,0.84,2.19,24
Maryland,MD,2007,1.01,0.36,0.84,2.2,24
Maryland,MD,2006,1.01,0.34,0.83,2.18,24
Maryland,MD,2005,1.02,0.34,0.81,2.16,24
Maryland,MD,2004,1.03,0.33,0.79,2.15,24
Maryland,MD,2003,1.03,0.32,0.77,2.12,24
Maryland,MD,2002,1.06,0.31,0.76,2.12,24
Maryland,MD,2001,1.06,0.3,0.75,2.11,24
Maryland,MD,2000,1.04,0.3,0.75,2.09,24
Maryland,MD,1999,1.04,0.3,0.74,2.08,24
Maryland,MD,1998,1.05,0.3,0.73,2.08,24
Maryland,MD,1997,1.08,0.29,0.73,2.11,24
Maryland,MD,1996,1.05,0.29,0.74,2.08,24
Maryland,MD,1995,1.06,0.28,0.74,2.09,24
Maryland,MD,1994,1.09,0.28,0.78,2.15,24
Maryland,MD,1993,1.1,0.28,0.8,2.19,24
Maryland,MD,1992,1.11,0.29,0.86,2.26,24
Maryland,MD,1991,1.15,0.3,0.89,2.33,24
Maryland,MD,1990,1.22,0.33,0.96,2.51,24
Maryland,MD,1989,1.2,0.34,0.97,2.52,24
Maryland,MD,1988,1.24,0.36,1,2.6,24
Maryland,MD,1987,1.28,0.38,1.06,2.71,24
Maryland,MD,1986,1.28,0.38,1.07,2.73,24
Maryland,MD,1985,1.3,0.36,1.14,2.8,24
Maryland,MD,1984,1.31,0.36,1.17,2.84,24
Maryland,MD,1983,1.34,0.35,1.2,2.89,24
Maryland,MD,1982,1.27,0.32,1.16,2.76,24
Maryland,MD,1981,1.39,0.34,1.33,3.06,24
Maryland,MD,1980,1.41,0.33,1.35,3.08,24
Maryland,MD,1979,1.43,0.31,1.39,3.13,24
Maryland,MD,1978,1.4,0.31,1.38,3.09,24
Maryland,MD,1977,1.36,0.3,1.38,3.05,24
Massachusetts,MA,2016,0.95,0.65,0.97,2.57,25
Massachusetts,MA,2015,0.97,0.65,0.91,2.52,25
Massachusetts,MA,2014,0.98,0.66,0.91,2.55,25
Massachusetts,MA,2013,1,0.66,0.89,2.56,25
Massachusetts,MA,2012,1.03,0.65,0.88,2.57,25
Massachusetts,MA,2011,1.02,0.64,0.88,2.54,25
Massachusetts,MA,2010,1.04,0.62,0.84,2.5,25
Massachusetts,MA,2009,1.03,0.62,0.85,2.49,25
Massachusetts,MA,2008,1.08,0.62,0.84,2.54,25
Massachusetts,MA,2007,1.11,0.62,0.87,2.59,25
Massachusetts,MA,2006,1.1,0.61,0.85,2.56,25
Massachusetts,MA,2005,1.07,0.59,0.85,2.51,25
Massachusetts,MA,2004,1.1,0.58,0.84,2.52,25
Massachusetts,MA,2003,1.1,0.56,0.82,2.49,25
Massachusetts,MA,2002,1.13,0.54,0.8,2.47,25
Massachusetts,MA,2001,1.13,0.52,0.79,2.44,25
Massachusetts,MA,2000,1.16,0.51,0.87,2.55,25
Massachusetts,MA,1999,1.09,0.51,0.79,2.39,25
Massachusetts,MA,1998,1.14,0.5,0.75,2.39,25
Massachusetts,MA,1997,1.13,0.49,0.76,2.39,25
Massachusetts,MA,1996,1.11,0.48,0.77,2.35,25
Massachusetts,MA,1995,1.13,0.44,0.78,2.35,25
Massachusetts,MA,1994,1.14,0.44,0.8,2.38,25
Massachusetts,MA,1993,1.14,0.44,0.8,2.38,25
Massachusetts,MA,1992,1.12,0.44,0.82,2.38,25
Massachusetts,MA,1991,1.19,0.43,0.87,2.49,25
Massachusetts,MA,1990,1.22,0.45,0.97,2.63,25
Massachusetts,MA,1989,1.24,0.46,1,2.7,25
Massachusetts,MA,1988,1.27,0.49,1.05,2.81,25
Massachusetts,MA,1987,1.27,0.5,1.11,2.88,25
Massachusetts,MA,1986,1.29,0.52,1.11,2.92,25
Massachusetts,MA,1985,1.28,0.5,1.19,2.97,25
Massachusetts,MA,1984,1.29,0.5,1.23,3.02,25
Massachusetts,MA,1983,1.36,0.49,1.2,3.05,25
Massachusetts,MA,1982,1.35,0.5,1.22,3.07,25
Massachusetts,MA,1981,1.44,0.49,1.24,3.17,25
Massachusetts,MA,1980,1.46,0.45,1.26,3.18,25
Massachusetts,MA,1979,1.4,0.43,1.24,3.07,25
Massachusetts,MA,1978,1.38,0.41,1.26,3.05,25
Massachusetts,MA,1977,1.35,0.37,1.25,2.97,25
Michigan,MI,2016,1.04,0.39,0.91,2.34,26
Michigan,MI,2015,0.99,0.37,0.89,2.25,26
Michigan,MI,2014,1.05,0.39,0.88,2.32,26
Michigan,MI,2013,1.02,0.37,0.85,2.24,26
Michigan,MI,2012,1.08,0.35,0.84,2.27,26
Michigan,MI,2011,1.07,0.35,0.83,2.25,26
Michigan,MI,2010,1.09,0.33,0.81,2.23,26
Michigan,MI,2009,1.11,0.32,0.8,2.23,26
Michigan,MI,2008,1.13,0.3,0.79,2.22,26
Michigan,MI,2007,1.13,0.3,0.77,2.19,26
Michigan,MI,2006,1.13,0.29,0.76,2.18,26
Michigan,MI,2005,1.15,0.28,0.74,2.16,26
Michigan,MI,2004,1.16,0.27,0.72,2.15,26
Michigan,MI,2003,1.17,0.28,0.72,2.17,26
Michigan,MI,2002,1.19,0.25,0.69,2.13,26
Michigan,MI,2001,1.18,0.23,0.68,2.09,26
Michigan,MI,2000,1.2,0.24,0.68,2.13,26
Michigan,MI,1999,1.2,0.24,0.67,2.11,26
Michigan,MI,1998,1.2,0.22,0.68,2.1,26
Michigan,MI,1997,1.19,0.22,0.66,2.07,26
Michigan,MI,1996,1.22,0.22,0.66,2.09,26
Michigan,MI,1995,1.2,0.19,0.66,2.06,26
Michigan,MI,1994,1.23,0.2,0.67,2.1,26
Michigan,MI,1993,1.26,0.2,0.72,2.18,26
Michigan,MI,1992,1.26,0.22,0.74,2.21,26
Michigan,MI,1991,1.3,0.22,0.74,2.26,26
Michigan,MI,1990,1.33,0.28,0.8,2.42,26
Michigan,MI,1989,1.29,0.3,0.8,2.39,26
Michigan,MI,1988,1.32,0.32,0.84,2.48,26
Michigan,MI,1987,1.32,0.33,0.85,2.51,26
Michigan,MI,1986,1.33,0.33,0.9,2.57,26
Michigan,MI,1985,1.31,0.32,0.96,2.59,26
Michigan,MI,1984,1.33,0.31,0.98,2.61,26
Michigan,MI,1983,1.36,0.28,0.98,2.62,26
Michigan,MI,1982,1.35,0.39,0.99,2.73,26
Michigan,MI,1981,1.34,0.29,1,2.63,26
Michigan,MI,1980,1.34,0.28,1.02,2.65,26
Michigan,MI,1979,1.36,0.25,1.03,2.65,26
Michigan,MI,1978,1.43,0.25,1.05,2.74,26
Michigan,MI,1977,1.45,0.24,1.02,2.71,26
Minnesota,MN,2016,1.15,0.44,1.17,2.77,27
Minnesota,MN,2015,1.16,0.43,1.14,2.73,27
Minnesota,MN,2014,1.14,0.44,1.23,2.81,27
Minnesota,MN,2013,1.13,0.43,1.16,2.72,27
Minnesota,MN,2012,1.18,0.42,1.11,2.71,27
Minnesota,MN,2011,1.13,0.34,0.99,2.47,27
Minnesota,MN,2010,1.14,0.33,0.97,2.44,27
Minnesota,MN,2009,1.19,0.37,1.04,2.59,27
Minnesota,MN,2008,1.21,0.36,1.03,2.6,27
Minnesota,MN,2007,1.23,0.36,1.01,2.6,27
Minnesota,MN,2006,1.15,0.32,0.93,2.4,27
Minnesota,MN,2005,1.18,0.33,0.97,2.48,27
Minnesota,MN,2004,1.24,0.31,0.94,2.5,27
Minnesota,MN,2003,1.22,0.29,0.91,2.43,27
Minnesota,MN,2002,1.26,0.28,0.88,2.41,27
Minnesota,MN,2001,1.25,0.26,0.88,2.39,27
Minnesota,MN,2000,1.24,0.26,0.87,2.37,27
Minnesota,MN,1999,1.23,0.27,0.86,2.36,27
Minnesota,MN,1998,1.16,0.27,0.84,2.27,27
Minnesota,MN,1997,1.2,0.27,0.84,2.31,27
Minnesota,MN,1996,1.23,0.26,0.83,2.31,27
Minnesota,MN,1995,1.29,0.25,0.83,2.38,27
Minnesota,MN,1994,1.27,0.25,0.83,2.35,27
Minnesota,MN,1993,1.24,0.24,0.84,2.33,27
Minnesota,MN,1992,1.25,0.25,0.85,2.35,27
Minnesota,MN,1991,1.3,0.24,0.81,2.35,27
Minnesota,MN,1990,1.32,0.27,0.96,2.55,27
Minnesota,MN,1989,1.29,0.27,0.89,2.46,27
Minnesota,MN,1988,1.31,0.3,0.9,2.51,27
Minnesota,MN,1987,1.32,0.32,0.94,2.58,27
Minnesota,MN,1986,1.31,0.34,0.93,2.57,27
Minnesota,MN,1985,1.31,0.31,1.06,2.68,27
Minnesota,MN,1984,1.34,0.28,1.07,2.69,27
Minnesota,MN,1983,1.38,0.27,1.1,2.74,27
Minnesota,MN,1982,1.37,0.27,1.11,2.75,27
Minnesota,MN,1981,1.39,0.27,1.18,2.84,27
Minnesota,MN,1980,1.39,0.26,1.2,2.85,27
Minnesota,MN,1979,1.36,0.24,1.17,2.77,27
Minnesota,MN,1978,1.32,0.23,1.16,2.71,27
Minnesota,MN,1977,1.31,0.21,1.16,2.67,27
Mississippi,MS,2016,1.28,0.17,0.77,2.23,28
Mississippi,MS,2015,1.31,0.17,0.77,2.24,28
Mississippi,MS,2014,1.32,0.16,0.75,2.23,28
Mississippi,MS,2013,1.35,0.16,0.73,2.24,28
Mississippi,MS,2012,1.37,0.16,0.71,2.24,28
Mississippi,MS,2011,1.36,0.16,0.71,2.22,28
Mississippi,MS,2010,1.37,0.15,0.7,2.22,28
Mississippi,MS,2009,1.41,0.15,0.7,2.26,28
Mississippi,MS,2008,1.44,0.15,0.7,2.28,28
Mississippi,MS,2007,1.45,0.14,0.68,2.26,28
Mississippi,MS,2006,1.43,0.13,0.67,2.23,28
Mississippi,MS,2005,1.4,0.13,0.65,2.18,28
Mississippi,MS,2004,1.38,0.13,0.63,2.14,28
Mississippi,MS,2003,1.38,0.12,0.63,2.13,28
Mississippi,MS,2002,1.41,0.12,0.61,2.13,28
Mississippi,MS,2001,1.4,0.11,0.6,2.11,28
Mississippi,MS,2000,1.43,0.11,0.61,2.14,28
Mississippi,MS,1999,1.42,0.11,0.61,2.14,28
Mississippi,MS,1998,1.39,0.09,0.59,2.08,28
Mississippi,MS,1997,1.39,0.09,0.61,2.09,28
Mississippi,MS,1996,1.42,0.1,0.62,2.14,28
Mississippi,MS,1995,1.37,0.1,0.61,2.09,28
Mississippi,MS,1994,1.28,0.08,0.63,2,28
Mississippi,MS,1993,1.37,0.1,0.63,2.11,28
Mississippi,MS,1992,1.35,0.09,0.63,2.08,28
Mississippi,MS,1991,1.32,0.09,0.64,2.05,28
Mississippi,MS,1990,1.34,0.09,0.65,2.08,28
Mississippi,MS,1989,1.28,0.09,0.66,2.04,28
Mississippi,MS,1988,1.3,0.09,0.67,2.06,28
Mississippi,MS,1987,1.28,0.09,0.66,2.04,28
Mississippi,MS,1986,1.28,0.1,0.69,2.07,28
Mississippi,MS,1985,1.22,0.1,0.74,2.07,28
Mississippi,MS,1984,1.2,0.11,0.77,2.08,28
Mississippi,MS,1983,1.2,0.11,0.8,2.1,28
Mississippi,MS,1982,1.18,0.11,0.81,2.1,28
Mississippi,MS,1981,1.19,0.11,0.84,2.13,28
Mississippi,MS,1980,1.13,0.1,0.86,2.09,28
Mississippi,MS,1979,1.1,0.09,0.81,2,28
Mississippi,MS,1978,1.11,0.1,0.88,2.09,28
Mississippi,MS,1977,1.04,0.1,0.83,1.98,28
Missouri,MO,2016,1.15,0.38,0.96,2.49,29
Missouri,MO,2015,1.17,0.39,0.97,2.53,29
Missouri,MO,2014,1.16,0.36,0.88,2.4,29
Missouri,MO,2013,1.19,0.36,0.89,2.44,29
Missouri,MO,2012,1.22,0.34,0.86,2.42,29
Missouri,MO,2011,1.24,0.34,0.86,2.45,29
Missouri,MO,2010,1.27,0.32,0.81,2.41,29
Missouri,MO,2009,1.3,0.3,0.83,2.43,29
Missouri,MO,2008,1.32,0.3,0.8,2.42,29
Missouri,MO,2007,1.33,0.3,0.78,2.4,29
Missouri,MO,2006,1.33,0.28,0.76,2.37,29
Missouri,MO,2005,1.31,0.27,0.73,2.3,29
Missouri,MO,2004,1.33,0.27,0.72,2.32,29
Missouri,MO,2003,1.34,0.26,0.7,2.29,29
Missouri,MO,2002,1.36,0.25,0.67,2.27,29
Missouri,MO,2001,1.34,0.23,0.67,2.25,29
Missouri,MO,2000,1.35,0.23,0.67,2.25,29
Missouri,MO,1999,1.35,0.23,0.66,2.23,29
Missouri,MO,1998,1.33,0.23,0.63,2.18,29
Missouri,MO,1997,1.3,0.22,0.63,2.15,29
Missouri,MO,1996,1.31,0.22,0.57,2.1,29
